Close,High,Low,Open,Volume,Profit/Loss,MV_9D,MV_21D,Signal
INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,,,,
1409.29296875,1429.4951483248678,1369.4714582615436,1369.4714582615436,15648970,39.8215104884564,1381.3369140625,1468.569614955357,Sell
1381.903564453125,1398.6091260339042,1378.5041672717928,1398.6091260339042,9399738,-16.705561580779204,1378.2234971788193,1460.834251767113,Sell
1432.5059814453125,1445.0352117850275,1398.2205856526791,1404.4366498623076,11136642,28.069331583004896,1386.6572401258682,1455.6704043433779,Sell
1429.1065673828125,1440.2760150192205,1419.4911061400271,1427.6496829084983,7114292,1.4568844743141653,1391.2545166015625,1449.0034237816221,Sell
1437.653564453125,1458.535575435,1421.4336312546193,1433.0887071514799,8329979,4.564857301645134,1399.5101996527778,1443.8071986607142,Sell
1439.4989013671875,1446.7833234291916,1423.1818670852326,1437.6534907325017,5886253,1.845410634685777,1407.3503960503472,1438.6895984468006,Sell
1454.456298828125,1466.4027986571466,1431.7288778586658,1439.4018262859975,8056743,15.054472542127542,1415.0664876302083,1432.6331263950892,Sell
1456.9815673828125,1465.431568419441,1439.984581952398,1453.7764926957282,7704183,3.205074687084334,1424.4553087022568,1428.0381615048364,Sell
1463.586181640625,1479.4175886205041,1453.1936678135066,1456.5930649551544,7402310,6.993116685470568,1433.8872884114583,1423.5680687313989,Buy
1465.2371826171875,1479.2232965927526,1459.6039673980883,1471.4532464465005,4282493,-6.216063829313043,1440.1033121744792,1420.698230561756,Buy
1468.053955078125,1472.0360823521305,1456.0103527730441,1462.7120452184295,4270530,5.341909859695534,1449.6755777994792,1420.0044817243304,Buy
1464.9459228515625,1475.1441139885928,1453.5821530190785,1456.8844481471906,5691799,8.061474704371903,1453.2800157335068,1418.0689057849702,Buy
1467.956787109375,1472.910170498641,1458.0499017692832,1464.654491996011,8424409,3.3022951133639253,1457.596706814236,1418.758033389137,Buy
1464.2659912109375,1467.9568126185206,1451.1540310083215,1457.5642989506216,4478653,6.701692260315895,1460.5536431206597,1421.3457321893602,Buy
1580.136962890625,1585.0903465111594,1487.96471253376,1492.8209942326298,11372857,87.3159686579952,1476.1800944010417,1431.9902401878721,Buy
1523.5125732421875,1565.859323230766,1519.627548132014,1562.7513505672503,12846210,-39.238777325062756,1483.8530137803818,1438.4560256231398,Buy
1546.6285400390625,1549.1537826809642,1524.3867472838704,1528.75740058924,4870057,17.871139449822522,1493.8137885199653,1447.1834600539435,Buy
1566.636474609375,1572.075486394776,1525.843708376521,1544.1033749720434,11151167,22.53309963733159,1505.2638210720486,1456.5977143787202,Buy
1544.200439453125,1566.2479103864578,1536.0418626920532,1566.2479103864578,4576751,-22.04747093333276,1514.0375162760417,1464.1781412760417,Buy
1514.9656982421875,1539.4413107743521,1510.9834523682187,1531.1856318206726,8855798,-16.219933578485097,1519.2499321831597,1470.9630708240327,Buy
1515.7425537109375,1537.9843466293191,1513.2173110505078,1524.8723866170074,7143998,-9.12983290606985,1524.8940022786458,1477.4889846075148,Buy
1523.41552734375,1525.8436681268927,1507.4869000940212,1522.832797268108,4157309,0.5827300756420755,1531.0560845269097,1482.9233921595983,Buy
1503.0191650390625,1515.9369216042496,1495.7347425913772,1510.7892156499267,6158990,-7.770050610864246,1535.3619927300347,1488.6908017113096,Buy
1519.8218994140625,1541.5779455953386,1505.447258808557,1505.447258808557,5038421,14.37464060550542,1528.6603190104167,1492.8487025669642,Buy
1535.070556640625,1538.275749801986,1517.782147363295,1521.5700705826603,3170102,13.500486057964736,1529.9445393880208,1497.8946068173364,Buy
1524.969482421875,1537.4016104009331,1511.6633186280806,1534.4878415209876,7775714,-9.518359099112558,1527.5379774305557,1502.0525076729912,Buy
